,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
84,884,"801 Grey Street, Regina, SK, S4T 5G8",2,1.0,0,1,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
85,849,"3955 Robinson Street, Regina, SK, S4S 3C7",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
86,879,"2155 Rose Street, Regina, SK, S4P 2A5",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
87,1100,"420 Toronto Street, Regina, SK, S4R 1M4",2,1.0,0,0,0,0,0,900,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,
88,980,"2131 Angus Street, Regina, SK, S4T 2A1",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,,
89,1020,"453 Retallack Street, Regina, SK, S4R 3N4",2,1.0,0,1,1,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
90,1120,"2657  Lacon Street, Regina, SK, S4N 2A5",2,1.0,0,1,1,0,1,773,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
91,750,"2104  14th Ave, Regina, SK, S4P 0X6",1,1.0,0,1,1,0,1,343,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
92,1500,"2315 McIntyre St, Regina, SK S4P 3Y8, Canada",2,1.0,1,1,1,1,0,700,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,
93,2300,"3117 Trombley Street, Regina, SK, S4V 3S1",3,2.5,0,0,0,0,1,1186,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,
94,1150,"3068 Greenbank Road, Regina, SK, S4V 3R7",2,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,
95,1150,"3076 George Street, Regina, SK, S4V 3X3",2,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,
96,1140,"3928 Green Falls Drive, Regina, SK, S4V 3M1",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,,
97,1190,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",2,1.0,0,0,1,0,1,691,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,,
98,1070,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",1,1.0,0,0,1,0,1,546,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,,
99,1060,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",1,1.0,0,0,1,0,1,566,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,,
100,1140,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,,
101,1230,"5601 Gordon Road, Regina, SK, S4W 0M6",2,1.0,0,0,1,0,1,825,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,,
102,1215,"5601 Gordon Road, Regina, SK, S4W 0M6",1,1.0,0,0,1,0,1,780,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,,
103,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,,
104,1300,"224 Osler St, Regina, SK S4R 1V4, Canada",3,1.0,1,1,1,1,1,950,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,,
105,1300,"2271 Argyle Street, S4T 3T2, Regina, SK",2,1.0,0,0,0,2,0,800,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,
106,1500,"1132 Gordon street, S0G3N0, Moosomin, SK",5,2.0,0,0,0,3,0,2000,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,
107,933,"22-41 Munroe Pl., Regina, SK, S4S 6A7",2,1.0,0,1,1,1,1,860,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,,
108,1079,"191 Rink Ave., Regina, SK, S4R 7V3",2,1.0,0,1,1,1,1,850,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,,
109,1350,"5300 Parliament Ave, Regina, SK, S4W 0R5",2,1.0,0,0,1,1,1,777,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,,
110,825,"1900 Garnet St, Regina, SK S4T 2Z4, Canada",1,1.0,0,1,1,1,0,550,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,,
111,1800,"417 St Mary St, Esterhazy, SK S0A 0X0, Canada",3,1.5,1,1,1,2,1,1400,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,,
112,700,"113 1 St W, Carnduff, SK S0C 0S0, Canada",3,1.0,0,0,1,2,0,840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,
113,1000,"S4N0T9, Canada",2,1.0,0,1,1,1,0,900,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,
114,1050,"2840 Mcara Street, Regina S4N2X4 SK",2,1.0,0,0,0,2,0,900,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,
115,2200,", S4P3V7, Regina, SK",4,2.0,0,0,0,2,0,2000,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,,
116,625,", Regina S4P1J9 SK, Canada",1,1.0,0,0,0,0,0,500,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
117,750,"4216 Castle Rd, Regina, SK S4S 4W1, Canada",1,1.0,1,1,1,1,1,450,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,
118,1150,"19 Irwin Ave, Yorkton, SK S3N 2E4, Canada",3,1.0,0,0,0,1,1,850,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,
