,Unnamed: 0,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
40,40,800,"1233 3rd St, Estevan, SK S4A 0R8, Canada",2,1.0,0,1,1,1,1,1000,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,49.1396143,-102.9956826
41,41,700,"173 Procter Pl, Regina, SK S4S 4G1, Canada",1,1.0,0,1,1,1,0,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,50.4165916,-104.6131414
42,42,1100,"67 Angus Rd, Regina, SK S4R 3L1, Canada",2,1.0,0,1,1,1,0,1140,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,50.479036,-104.620408
43,43,935,"505 Rose St, Regina, SK S4R 1Z4, Canada",2,1.0,0,1,1,1,0,800,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,50.470701,-104.607933
44,44,1295,"4665 Skinner Cres, Regina, SK S4W 0A3, Canada",1,1.0,0,0,0,1,0,800,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,50.4122278,-104.6496927
45,45,1050,"5310 Universal Cr., S4W 0K8, Regina, SK",2,1.0,0,0,0,1,0,1033,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,50.436949,-104.649662
46,46,1198,"1701 Horizons Way, Regina, SK, S4Y 0G5",2,2.0,0,0,1,1,1,913,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.476789,-104.695286
47,47,1298,"1251 N Galloway Street, Regina, SK, S4X 0M6",2,1.0,0,1,1,1,1,859,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.49048,-104.671679
48,48,1600,"5500 Mitchinson Way, Regina, SK S4W 0N9, Canada",2,2.0,1,1,1,2,0,900,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,50.436949,-104.649662
49,49,1148,"41 Munroe Place, Regina, SK, S4S 6A7",2,1.0,0,1,1,0,1,850,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,50.414254,-104.599335
