,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
35,1750,"14 Milford Crescent, Regina, SK S4N 1K7, Canada",3,2.0,0,0,0,3,1,1300,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,50.45371175,-104.55165125093453
36,1000,"69  Kleisinger Cres, Regina, SK, S4R 6Z4",2,1.0,0,1,1,0,1,761,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.48469695,-104.61002479999999
37,800,"399  Parkview Road, Yorkton, SK, S3N 2L4",2,1.0,0,1,1,0,1,743,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,51.201456,-102.4910259
38,650,"2901  5th Ave, Regina, SK, S4T 0L3",1,1.0,0,1,1,0,1,308,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4612556,-104.62291479513875
39,850,"1454  Rae St, Regina, SK, S4T 2C5",2,1.0,0,1,1,0,1,684,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.45575635,-104.62143555014939
40,800,"1233 3rd St, Estevan, SK S4A 0R8, Canada",2,1.0,0,1,1,1,1,1000,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,49.1380657,-102.9914709
41,700,"173 Procter Pl, Regina, SK S4S 4G1, Canada",1,1.0,0,1,1,1,0,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,50.416049599999994,-104.61538370034538
42,1100,"67 Angus Rd, Regina, SK S4R 3L1, Canada",2,1.0,0,1,1,1,0,1140,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,50.48039905,-104.61993615
43,935,"505 Rose St, Regina, SK S4R 1Z4, Canada",2,1.0,0,1,1,1,0,800,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,50.4788692,-104.6079614
44,1295,"4665 Skinner Cres, Regina, SK S4W 0A3, Canada",1,1.0,0,0,0,1,0,800,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,50.4143021,-104.64507019114112
