,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
43,900,"2311 Park Street, S4N 2G9, Regina, SK",Basement,1,1.0,1,1,1,Internet,1,1 Year,1,500,1,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/basement-rental-dog-friendly/1570872256,0
44,620,"15  Darlington St. E, Yorkton, SK, S3N 0C1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,290,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/bachelor-apartment-with-parking-available-close-to-parkland-col/1568952801,0
45,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,763,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/coronation-park-apartment-for-rent-3525-avonhurst-dr/1539483938,0
46,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189,0
47,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/harbour-view-estates-2-bedroom-1-bathroom-apartment-for-rent/1551597919,0
49,1750,"14 Milford Crescent, Regina, SK S4N 1K7, Canada",House,3,2.0,0,0,0,Not Included,3,1 Year,1,1300,0,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",0,['Not Included'],/v-apartments-condos/regina/spacious-4-bedrooms-2-bathroom-house-glencairn-for-rent/1567616073,1
50,1000,"69  Kleisinger Cres, Regina, SK, S4R 6Z4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,761,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-apartment-with-balcony-available/1546400906,0
51,800,"399  Parkview Road, Yorkton, SK, S3N 2L4",House,2,1.0,0,1,1,Not Included,0,1 Year,1,743,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-apartment-available-heat-water-included/1568952675,0
53,650,"2901  5th Ave, Regina, SK, S4T 0L3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,308,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/bachelor-apartment-for-rent-pet-friendly/1566661441,0
54,850,"1454  Rae St, Regina, SK, S4T 2C5",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,684,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/pet-friendly-2-bedroom-apartment-with-parking-available/1545349765,0
